title,vector_14d
Search,"[0.1, 1.0, 0.2, 2.2, 2.2671568097509267, 1.0, 0.25, 0.2641509433962264, 0.28651685393258425, 0.8139346821510577, 22.0, 0.4, 0.75, 0.1]"
A Poem for the Cruel Majority,"[0.6, 1.0, 0.05, 42.2, 0.0, 1.0, 1.0, 0.1437908496732026, 0.3272058823529412, 0.7947282813581659, 422.0, 0.4, 0.625, 0.2]"
ÂDo Not Embrace Your MindÂs New Negro FriendÂ,"[0.8, 1.0, 0.05, 19.3, 0.0, 1.0, 1.0, 0.1419753086419753, 0.3524590163934426, 0.7905557600710714, 193.0, 0.4, 0.6666666666666666, 0.2]"
The Greatest Love,"[0.3, 1.0, 0.15, 1.1, 1.2754084313139327, 1.0, 0.3333333333333333, 0.14285714285714285, 0.3870967741935484, 0.7311602410135601, 11.0, 0.4, 0.75, 0.4]"
Bilingual/BilingÃ¼e,"[0.1, 1.0, 0.15, 4.0, 4.3297421016345385, 1.0, 0.3333333333333333, 0.2564102564102564, 0.3013698630136986, 0.7956318862752357, 40.0, 0.6, 0.6875, 0.2]"
The War Films,"[0.3, 1.0, 0.15, 3.8, 0.7118052168020874, 1.0, 0.3333333333333333, 0.2222222222222222, 0.3045977011494253, 0.7776898867014658, 38.0, 0.4, 0.8333333333333334, 0.1]"
Of the Education of Children,"[0.5, 0.8, 0.4, 2.5875, 2.0504572660750577, 0.875, 0.25, 0.17123287671232876, 0.25063291139240507, 0.7953184441589474, 25.875, 0.4, 0.7058823529411765, 0.3]"
"from America, America","[0.3, 1.0, 0.1, 0.35, 0.1, 1.0, 0.5, 0.0, 0.42857142857142855, 0.6734147354774693, 3.5, 0.4, 0.75, 0.5]"
Poisonous Plants of America,"[0.4, 1.0, 0.05, 1.1, 0.0, 1.0, 1.0, 0.25, 0.3142857142857143, 0.7829526936088277, 11.0, 0.4, 0.6666666666666666, 0.1]"
Morte d'Arthur,"[0.2, 1.0, 1.25, 8.76, 11.534435400139879, 0.68, 0.2, 0.059057730590577305, 0.31884480746791133, 0.7849745050190292, 87.6, 0.6, 0.631578947368421, 0.1]"
The Summer Bower,"[0.3, 1.0, 0.2, 11.975, 10.840087638022121, 1.0, 0.25, 0.13513513513513514, 0.3444700460829493, 0.7819952785600611, 119.75, 0.4, 0.9090909090909091, 0.5]"
"A Carafe, that is a Blind Glass","[0.7, 0.8571428571428571, 0.15, 1.2666666666666666, 1.6759740119968711, 0.3333333333333333, 1.0, 0.18518518518518517, 0.27692307692307694, 0.7640167360170323, 12.666666666666666, 0.4, 0.6923076923076923, 0.6]"
